,Quote,Author
437,Humor is a social lubricant that helps us get over some of the bad spots,Steve Allen
438,It's possible to love a human being if you don't know them too well,Charles Bukowski
439,"The principle of art is to pause, not bypass",Jerzy Kosinski
440,A person with a new idea is a crank until the idea succeeds,Mark Twain
441,Nothing in life is so exhilarating as to be shot at without result,Winston Churchill
442,Insult is powerful. Insult begets both rage and humor and often at the same time,Suzanne Fields
443,It may be that the deep necessity of art is the examination of self-deception,Robert Motherwell
444,Only a struggle twists sentimentality and lust together into love,E. M. Forster
445,Painting is a nail to which I fasten my ideas,Georges Braque
446,"When you win, nothing hurts",Joe Namath
447,Art must take reality by surprise,Francoise Sagan
448,What I wanted to do was to paint sunlight on the side of a house,Edward Hopper
449,To be prepared is half the victory,Miguel de Cervantes
450,"If you look back, Mozart, Haydn and Beethoven were mixing music and humor all the time",Richard Hyung-ki Joo
451,Art enables us to find ourselves and lose ourselves at the same time,Thomas Merton
452,Success is getting what you want. Happiness is wanting what you get,Dale Carnegie
453,"I'd love to knock an audience cold with one note, but what do you do for the rest of the evening?",Eric Clapton
454,Pictures deface walls more often than they decorate them,William Wordsworth
455,God never promised us a trouble-free life,Joyce Meyer
456,"I like to believe that love is a reciprocal thing, that it can't really be felt, truly, by one",Sean Penn
457,The mission of art is to represent nature not to imitate her,William Morris Hunt
458,Success is dependent on effort,Sophocles
459,"I don't believe in the after life, although I am bringing a change of underwear",Woody Allen
460,I don't really like using ridicule as a form of humor,Alison Jackson
461,Art is the daughter of freedom,Friedrich Schiller
462,Let me tell you the secret that has led me to my goal. My strength lies solely in my tenacity,Louis Pasteur
463,"I just can't seem to write songs about peace and love. Yeah right, how do you get that?",Siobhan Fahey
464,"The artist is nothing without the gift, but the gift is nothing without work",Emile Zola
465,One fails forward toward success,Charles Kettering
466,"To succeed in life, you need three things: a wishbone, a backbone and a funny bone",Reba McEntire
467,"Hatred does not cease by hatred, but only by love; this is the eternal rule",Buddha
468,An artist is not paid for his labor but for his vision,James Whistler
469,An eye for an eye will only make the whole world blind,Mahatma Gandhi
470,"I would rather walk with a friend in the dark, than alone in the light",Helen Keller
471,Life can only be understood backwards; but it must be lived forwards,Soren Kierkegaard
472,To love oneself is the beginning of a lifelong romance,Oscar Wilde
473,What makes photography a strange invention is that its primary raw materials are light and time,John Berger
474,Creativity is knowing how to hide your sources,C.E.M. Joad
475,There is hope for the future because God has a sense of humor and we are funny to God,Bill Cosby
476,Love is the triumph of imagination over intelligence,H. L. Mencken
477,The first duty of love is to listen,Paul Tillich
478,My hand is the extension of the thinking process - the creative process,Tadao Ando
479,Success is often the result of taking a misstep in the right direction,Al Bernstein
480,Every artist was first an amateur,Ralph Waldo Emerson
481,Belief in oneself is one of the most important bricks in building any successful venture,Lydia M. Child
482,I would rather die a meaningful death than to live a meaningless life,Corazon Aquino
483,"We are all born for love. It is the principle of existence, and its only end",Benjamin Disraeli
484,To send light into the darkness of men's hearts - such is the duty of the artist,Robert Schumann
485,Success is falling nine times and getting up ten,Jon Bon Jovi
486,It's easier to sit there and say you don't like feminists because they don't have a sense of humor,Joan Jett
487,"One does not fall in love; one grows into love, and love grows in him",Karl A. Menninger
488,The degree of loving is measured by the degree of giving,Edwin Louis Cole
489,Only divine love bestows the keys of knowledge,Arthur Rimbaud
490,"No great artist ever sees things as they really are. If he did, he would cease to be an artist",Oscar Wilde
491,The successful man will profit from his mistakes and try again in a different way,Dale Carnegie
492,We do not take humor seriously enough,Konrad Lorenz
493,Someone has to die in order that the rest of us should value life more,Virginia Woolf
494,Love ceases to be a pleasure when it ceases to be a secret,Aphra Behn
495,Success isn't a result of spontaneous combustion. You must set yourself on fire,Arnold H. Glasow
496,Love is a better teacher than duty,Albert Einstein
497,An artist cannot fail; it is a success to be one,Charles Horton Cooley
498,I consider myself to have a decent sense of humor. What's life without a sense of humor?,Mayer Hawthorne
499,"Love is but the discovery of ourselves in others, and the delight in the recognition",Alexander Smith
500,It's the friends you can call up at 4 a.m. that matter,Marlene Dietrich
501,"They succeed, because they think they can",Virgil
502,"When one paints an ideal, one does not need to limit one's imagination",Ellen Key
503,Hope is a very thin diet,Thomas Shadwell
504,Love is an emotion experienced by the many and enjoyed by the few,George Jean Nathan
505,"Four things for success: work and pray, think and believe",Norman Vincent Peale
506,"In the end, I hope there's a little note somewhere that says I designed a good computer",Steve Wozniak
507,Love is a sacred reserve of energy; it is like the blood of spiritual evolution,Pierre Teilhard de Chardin
508,Music has the power to bring people together like no other art form,Michael Franti
509,"We wrote verses that condemned us, with no hope of pardon, to the most bitter solitude",Salvatore Quasimodo
510,Stolen kisses are always sweetest,Leigh Hunt
511,"Sometimes I make myself laugh, but that's because I appreciate my sense of humor",Regina Hall
512,"The worst enemy of human hope is not brute facts, but men of brains who will not face them",Max Eastman
513,"Memories are the best things in life, I think",Romy Schneider
514,A loving heart is the truest wisdom,Charles Dickens
515,"I became insane, with long intervals of horrible sanity",Edgar Allan Poe
516,The atheist has no hope,James Freeman Clarke
517,I hope to stay unemployed as a war photographer till the end of my life,Robert Capa
518,"Life isn't black and white. It's a million gray areas, don't you find?",Ridley Scott
519,Love is space and time measured by the heart,Marcel Proust
520,"They teach you there's a boundary line to music. But, man, there's no boundary line to art",Charlie Parker
521,I have had all of the disadvantages required for success,Larry Ellison
522,"Life is short, the art long",Hippocrates
523,"Let no one who loves be unhappy, even love unreturned has its rainbow",James M. Barrie
524,Philosophy and Art both render the invisible visible by imagination,George Henry Lewes
525,It's far better to be unhappy alone than unhappy with someone — so far,Marilyn Monroe
526,You cannot climb the ladder of success dressed in the costume of failure,Zig Ziglar
527,One day I hope to open my own day-care center. My passion for kids is through the roof,Cam Newton
528,Love is the difficult realization that something other than oneself is real,Iris Murdoch
529,I hope that people learn from my mistake and I hope that the fans forgive me,Rafael Palmeiro
530,There is no remedy for love but to love more,Henry David Thoreau
531,Those who don't believe in magic will never find it,Roald Dahl
532,"Success is never final, failure is never fatal. It's courage that counts",John Wooden
